Instantaneous Utilization,0.3510
Waiting Time,0.3511
Number Waiting,0.1903
Instantaneous Utilization,0.3384
Waiting Time,0.4637
Number Waiting,0.2084
Instantaneous Utilization,0.3249
Waiting Time,0.2405
Number Waiting,0.1058
Instantaneous Utilization,0.2921
Waiting Time,0.4064
Number Waiting,0.2028
Instantaneous Utilization,0.3466
Waiting Time,0.4215
Number Waiting,0.1994
Instantaneous Utilization,0.3465
Waiting Time,0.2997
Number Waiting,0.1495
Instantaneous Utilization,0.3321
Waiting Time,0.2889
Number Waiting,0.1424
Instantaneous Utilization,0.3160
Waiting Time,0.4255
Number Waiting,0.2132
Instantaneous Utilization,0.3737
Waiting Time,0.4192
Number Waiting,0.1942
Instantaneous Utilization,0.3216
Waiting Time,0.4289
Number Waiting,0.1964
Instantaneous Utilization,0.3223
Waiting Time,0.4578
Number Waiting,0.2106
Instantaneous Utilization,0.3045
Waiting Time,0.2722
Number Waiting,0.1263
Instantaneous Utilization,0.3278
Waiting Time,0.2262
Number Waiting,0.1013
Instantaneous Utilization,0.2871
Waiting Time,0.3230
Number Waiting,0.1579
Instantaneous Utilization,0.3069
Waiting Time,0.2571
Number Waiting,0.1211
Instantaneous Utilization,0.3102
Waiting Time,0.3162
Number Waiting,0.1565
Instantaneous Utilization,0.2972
Waiting Time,0.2624
Number Waiting,0.1294
Instantaneous Utilization,0.3094
Waiting Time,0.2868
Number Waiting,0.1311
Instantaneous Utilization,0.2920
Waiting Time,0.3246
Number Waiting,0.1506
Instantaneous Utilization,0.3042
Waiting Time,0.4710
Number Waiting,0.2463
Instantaneous Utilization,0.3488
Waiting Time,0.2071
Number Waiting,0.0973
Instantaneous Utilization,0.3146
Waiting Time,0.3400
Number Waiting,0.1659
Instantaneous Utilization,0.3539
Waiting Time,0.1910
Number Waiting,0.08749817
Instantaneous Utilization,0.2968
Waiting Time,0.2912
Number Waiting,0.1401
Instantaneous Utilization,0.3131
Waiting Time,0.3683
