Waiting Time,CONSULTAR.Queue,0.2869
Waiting Time,LOGIN.Queue,0.3312
Number Waiting,ALTERAR.Queue,0.07945664
Number Waiting,APP.Queue,0.1681
Number Waiting,BD.Queue,0.2231
Number Waiting,CONSULTAR.Queue,0.1331
Number Waiting,LOGIN.Queue,0.2292
Instantaneous Utilization,ResourceAlterar,0.2067
Instantaneous Utilization,ResourceApp,0.3567
Instantaneous Utilization,ResourceBD,0.3692
Instantaneous Utilization,ResourceConsultar,0.3019
Instantaneous Utilization,ResourceLogin,0.4098
Waiting Time,ALTERAR.Queue,0.2125
Waiting Time,APP.Queue,0.3187
Waiting Time,BD.Queue,0.2647
Waiting Time,CONSULTAR.Queue,0.3249
Waiting Time,LOGIN.Queue,0.5499
Number Waiting,ALTERAR.Queue,0.06949658
Number Waiting,APP.Queue,0.2387
Number Waiting,BD.Queue,0.2133
Number Waiting,CONSULTAR.Queue,0.1556
Number Waiting,LOGIN.Queue,0.4120
Instantaneous Utilization,ResourceAlterar,0.2444
Instantaneous Utilization,ResourceApp,0.3861
Instantaneous Utilization,ResourceBD,0.3666
Instantaneous Utilization,ResourceConsultar,0.3244
Instantaneous Utilization,ResourceLogin,0.4489
Waiting Time,ALTERAR.Queue,0.2218
Waiting Time,APP.Queue,0.3645
Waiting Time,BD.Queue,0.2953
Waiting Time,CONSULTAR.Queue,0.3213
Waiting Time,LOGIN.Queue,0.6782
Number Waiting,ALTERAR.Queue,0.07495508
Number Waiting,APP.Queue,0.2843
Number Waiting,BD.Queue,0.2513
Number Waiting,CONSULTAR.Queue,0.1648
Number Waiting,LOGIN.Queue,0.5290
Instantaneous Utilization,ResourceAlterar,0.2496
Instantaneous Utilization,ResourceApp,0.4493
Instantaneous Utilization,ResourceBD,0.4215
Instantaneous Utilization,ResourceConsultar,0.3408
Instantaneous Utilization,ResourceLogin,0.5089
Waiting Time,ALTERAR.Queue,0.2428
Waiting Time,APP.Queue,0.4353
Waiting Time,BD.Queue,0.2674
Waiting Time,CONSULTAR.Queue,0.2460
Waiting Time,LOGIN.Queue,0.3679
Number Waiting,ALTERAR.Queue,0.08545357
Number Waiting,APP.Queue,0.3312
Number Waiting,BD.Queue,0.2222
Number Waiting,CONSULTAR.Queue,0.1178
Number Waiting,LOGIN.Queue,0.2829
Instantaneous Utilization,ResourceAlterar,0.2519
Instantaneous Utilization,ResourceApp,0.4099
Instantaneous Utilization,ResourceBD,0.3964
Instantaneous Utilization,ResourceConsultar,0.3210
Instantaneous Utilization,ResourceLogin,0.4095
Waiting Time,ALTERAR.Queue,0.1962
Waiting Time,APP.Queue,0.3111
Waiting Time,BD.Queue,0.2595
Waiting Time,CONSULTAR.Queue,0.2972
Waiting Time,LOGIN.Queue,0.4816
Number Waiting,ALTERAR.Queue,0.06003517
Number Waiting,APP.Queue,0.2271
Number Waiting,BD.Queue,0.2050
Number Waiting,CONSULTAR.Queue,0.1441
Number Waiting,LOGIN.Queue,0.3515
Instantaneous Utilization,ResourceAlterar,0.2179
Instantaneous Utilization,ResourceApp,0.3928
Instantaneous Utilization,ResourceBD,0.3752
Instantaneous Utilization,ResourceConsultar,0.3363
Instantaneous Utilization,ResourceLogin,0.4300
Waiting Time,ALTERAR.Queue,0.1736
Waiting Time,APP.Queue,0.3330
Waiting Time,BD.Queue,0.3563
Waiting Time,CONSULTAR.Queue,0.4513
Waiting Time,LOGIN.Queue,0.5052
Number Waiting,ALTERAR.Queue,0.05468785
Number Waiting,APP.Queue,0.2444
Number Waiting,BD.Queue,0.2847
Number Waiting,CONSULTAR.Queue,0.2189
Number Waiting,LOGIN.Queue,0.3720
Instantaneous Utilization,ResourceAlterar,0.2060
Instantaneous Utilization,ResourceApp,0.3996
Instantaneous Utilization,ResourceBD,0.3866
Instantaneous Utilization,ResourceConsultar,0.3273
Instantaneous Utilization,ResourceLogin,0.4479
Waiting Time,ALTERAR.Queue,0.1968
Waiting Time,APP.Queue,0.2483
Waiting Time,BD.Queue,0.2304
Waiting Time,CONSULTAR.Queue,0.3411
Waiting Time,LOGIN.Queue,0.3331
Number Waiting,ALTERAR.Queue,0.06631888
Number Waiting,APP.Queue,0.1845
Number Waiting,BD.Queue,0.1857
Number Waiting,CONSULTAR.Queue,0.1600
Number Waiting,LOGIN.Queue,0.2475
Instantaneous Utilization,ResourceAlterar,0.2490
Instantaneous Utilization,ResourceApp,0.3710
Instantaneous Utilization,ResourceBD,0.3800
Instantaneous Utilization,ResourceConsultar,0.3144
Instantaneous Utilization,ResourceLogin,0.4223
Waiting Time,ALTERAR.Queue,0.2625
Waiting Time,APP.Queue,0.3574
Waiting Time,BD.Queue,0.2821
Waiting Time,CONSULTAR.Queue,0.3394
Waiting Time,LOGIN.Queue,0.5445
